A
Propeller  0.028  0.005  0.003  0.031  0.024 -0.169
   Buckle  0.005  0.024  0.004 -0.024 -0.025 -0.011
  Opening  0.003  0.004  0.059 -0.021  0.207 -0.051
    Shear  0.031 -0.024 -0.021 15.081  4.991 -0.205
  Stretch  0.024 -0.025  0.207  4.991 35.797 -0.296
  Stagger -0.169 -0.011 -0.051 -0.205 -0.296 21.069
C
Propeller  0.027  0.002  0.002 -0.005 -0.097  0.038
   Buckle  0.002  0.015  0.000 -0.026  0.001  0.111
  Opening  0.002  0.000  0.110 -0.143 -0.449  0.218
    Shear -0.005 -0.026 -0.143 14.936  0.571  2.474
  Stretch -0.097  0.001 -0.449  0.571 35.453 -0.926
  Stagger  0.038  0.111  0.218  2.474 -0.926 21.815
G
Propeller  0.027 -0.002  0.002  0.005 -0.097  0.038
   Buckle -0.002  0.015  0.000 -0.026 -0.001 -0.111
  Opening  0.002  0.000  0.110  0.143 -0.449  0.218
    Shear  0.005 -0.026  0.143 14.936 -0.571 -2.474
  Stretch -0.097 -0.001 -0.449 -0.571 35.453 -0.926
  Stagger  0.038 -0.111  0.218 -2.474 -0.926 21.815
T
Propeller  0.028 -0.005  0.003 -0.031  0.024 -0.169
   Buckle -0.005  0.024 -0.004 -0.024  0.025  0.011
  Opening  0.003 -0.004  0.059  0.021  0.207 -0.051
    Shear -0.031 -0.024  0.021 15.081 -4.991  0.205
  Stretch  0.024  0.025  0.207 -4.991 35.797 -0.296
  Stagger -0.169  0.011 -0.051  0.205 -0.296 21.069
