META Nbins 1500 Nquantiles 101 Nssbin 3 Nsfbin 5 Nnbbin 5
index aa  aai ss lowsf highsf lownb  highnb nsamp q000   q001   q002   q003   q004   q005   q006   q007   q008   q009   q010   q011   q012   q013   q014   q015   q016   q017   q018   q019   q020   q021   q022   q023   q024   q025   q026   q027   q028   q029   q030   q031   q032   q033   q034   q035   q036   q037   q038   q039   q040   q041   q042   q043   q044   q045   q046   q047   q048   q049   q050   q051   q052   q053   q054   q055   q056   q057   q058   q059   q060   q061   q062   q063   q064   q065   q066   q067   q068   q069   q070   q071   q072   q073   q074   q075   q076   q077   q078   q079   q080   q081   q082   q083   q084   q085   q086   q087   q088   q089   q090    q091    q092    q093    q094    q095    q096    q097    q098    q099      q100     
1     ALA 1   E  0     0      5.5    23.781 1214  -4.2   -3.938 -3.806 -3.733 -3.673 -3.636 -3.602 -3.564 -3.524 -3.497 -3.462 -3.434 -3.407 -3.382 -3.362 -3.347 -3.322 -3.297 -3.283 -3.266 -3.249 -3.23  -3.21  -3.189 -3.18  -3.165 -3.15  -3.135 -3.119 -3.109 -3.096 -3.083 -3.07  -3.053 -3.034 -3.019 -3.006 -2.999 -2.987 -2.969 -2.952 -2.941 -2.926 -2.912 -2.898 -2.882 -2.875 -2.864 -2.854 -2.845 -2.832 -2.817 -2.807 -2.797 -2.778 -2.763 -2.746 -2.739 -2.727 -2.706 -2.693 -2.685 -2.667 -2.653 -2.638 -2.618 -2.602 -2.583 -2.566 -2.544 -2.532 -2.511 -2.485 -2.461 -2.442 -2.422 -2.4   -2.373 -2.357 -2.34  -2.312 -2.276 -2.242 -2.222 -2.173 -2.134 -2.097 -2.056 -2.021 -1.98  -1.941  -1.876  -1.821  -1.755  -1.669  -1.56   -1.403  -1.254  -1.014  -0.403    28.707   
2     ALA 1   E  0     0      23.781 25.753 1234  -4.25  -3.926 -3.805 -3.73  -3.66  -3.577 -3.545 -3.522 -3.494 -3.472 -3.447 -3.425 -3.406 -3.375 -3.355 -3.332 -3.311 -3.289 -3.278 -3.269 -3.251 -3.236 -3.218 -3.197 -3.182 -3.166 -3.15  -3.136 -3.125 -3.113 -3.097 -3.086 -3.071 -3.054 -3.037 -3.023 -3.012 -3.003 -2.99  -2.977 -2.966 -2.952 -2.926 -2.914 -2.908 -2.903 -2.889 -2.873 -2.866 -2.849 -2.835 -2.82  -2.807 -2.795 -2.782 -2.771 -2.76  -2.731 -2.722 -2.707 -2.698 -2.677 -2.658 -2.644 -2.629 -2.617 -2.601 -2.582 -2.569 -2.553 -2.536 -2.518 -2.505 -2.487 -2.462 -2.437 -2.426 -2.405 -2.389 -2.37  -2.352 -2.322 -2.285 -2.256 -2.229 -2.198 -2.166 -2.136 -2.088 -2.044 -2.009  -1.95   -1.865  -1.766  -1.681  -1.589  -1.407  -1.189  -0.944  -0.288    11.279   
3     ALA 1   E  0     0      25.753 27.481 662   -4.088 -3.854 -3.719 -3.644 -3.575 -3.533 -3.511 -3.467 -3.421 -3.398 -3.368 -3.35  -3.334 -3.312 -3.295 -3.274 -3.248 -3.238 -3.226 -3.214 -3.203 -3.193 -3.175 -3.16  -3.145 -3.131 -3.117 -3.09  -3.07  -3.053 -3.039 -3.023 -3.014 -3.001 -2.993 -2.973 -2.963 -2.945 -2.927 -2.919 -2.909 -2.898 -2.892 -2.889 -2.872 -2.861 -2.85  -2.841 -2.827 -2.818 -2.79  -2.775 -2.764 -2.752 -2.734 -2.719 -2.704 -2.687 -2.68  -2.664 -2.648 -2.64  -2.626 -2.62  -2.61  -2.599 -2.585 -2.575 -2.565 -2.549 -2.531 -2.517 -2.506 -2.499 -2.486 -2.466 -2.449 -2.422 -2.406 -2.388 -2.377 -2.325 -2.289 -2.265 -2.249 -2.232 -2.189 -2.168 -2.121 -2.074 -2.001  -1.974  -1.9    -1.815  -1.751  -1.659  -1.572  -1.311  -1.113  -0.922    9.266    
4     ALA 1   E  0     0      27.481 29.522 1152  -4.295 -3.825 -3.697 -3.621 -3.569 -3.544 -3.513 -3.48  -3.448 -3.404 -3.376 -3.359 -3.337 -3.32  -3.302 -3.275 -3.256 -3.235 -3.217 -3.198 -3.185 -3.166 -3.155 -3.136 -3.125 -3.106 -3.095 -3.082 -3.068 -3.056 -3.045 -3.037 -3.022 -3.013 -2.995 -2.979 -2.963 -2.947 -2.934 -2.926 -2.918 -2.904 -2.893 -2.878 -2.869 -2.855 -2.848 -2.833 -2.827 -2.814 -2.805 -2.796 -2.785 -2.778 -2.764 -2.754 -2.737 -2.716 -2.699 -2.682 -2.673 -2.653 -2.639 -2.617 -2.592 -2.572 -2.558 -2.541 -2.509 -2.493 -2.481 -2.46  -2.436 -2.422 -2.401 -2.376 -2.346 -2.317 -2.301 -2.286 -2.271 -2.25  -2.208 -2.17  -2.123 -2.098 -2.067 -2.041 -2.006 -1.953 -1.901  -1.87   -1.786  -1.706  -1.647  -1.547  -1.42   -1.291  -1.109  -0.583    93.182   
5     ALA 1   E  0     0      29.522 30.5   1159  -4.362 -3.874 -3.752 -3.655 -3.592 -3.557 -3.514 -3.469 -3.434 -3.404 -3.388 -3.371 -3.346 -3.331 -3.312 -3.28  -3.265 -3.243 -3.222 -3.2   -3.177 -3.156 -3.146 -3.125 -3.104 -3.087 -3.065 -3.051 -3.04  -3.02  -3.004 -2.99  -2.974 -2.964 -2.954 -2.932 -2.922 -2.903 -2.899 -2.885 -2.864 -2.852 -2.837 -2.827 -2.816 -2.806 -2.789 -2.775 -2.765 -2.755 -2.737 -2.72  -2.702 -2.694 -2.685 -2.674 -2.658 -2.637 -2.629 -2.617 -2.6   -2.58  -2.567 -2.555 -2.544 -2.53  -2.514 -2.497 -2.477 -2.459 -2.435 -2.422 -2.399 -2.372 -2.358 -2.333 -2.317 -2.284 -2.249 -2.219 -2.197 -2.173 -2.155 -2.116 -2.084 -2.054 -2.037 -1.993 -1.943 -1.89  -1.846  -1.781  -1.719  -1.634  -1.566  -1.485  -1.402  -1.258  -0.997  -0.723    39.989   
6     ALA 1   E  0     0.066  5.5    20.934 342   -4.996 -3.671 -3.644 -3.514 -3.415 -3.352 -3.296 -3.274 -3.26  -3.248 -3.235 -3.227 -3.21  -3.185 -3.158 -3.13  -3.118 -3.112 -3.09  -3.077 -3.061 -3.048 -3.037 -3.012 -2.998 -2.981 -2.965 -2.95  -2.937 -2.93  -2.922 -2.903 -2.893 -2.885 -2.875 -2.869 -2.856 -2.823 -2.804 -2.797 -2.792 -2.781 -2.774 -2.762 -2.744 -2.735 -2.729 -2.71  -2.702 -2.692 -2.683 -2.668 -2.646 -2.623 -2.598 -2.576 -2.561 -2.535 -2.524 -2.494 -2.469 -2.448 -2.414 -2.398 -2.38  -2.363 -2.35  -2.346 -2.338 -2.31  -2.282 -2.256 -2.24  -2.233 -2.212 -2.185 -2.139 -2.125 -2.092 -2.068 -2.056 -2.043 -2.028 -1.994 -1.939 -1.887 -1.838 -1.819 -1.774 -1.745 -1.655  -1.613  -1.554  -1.515  -1.447  -1.343  -1.16   -1.068  -0.339  0.008     12.454   
7     ALA 1   E  0     0.066  20.934 22.984 331   -3.903 -3.655 -3.565 -3.46  -3.393 -3.375 -3.36  -3.316 -3.281 -3.246 -3.212 -3.207 -3.19  -3.146 -3.132 -3.11  -3.046 -3.004 -2.998 -2.982 -2.961 -2.952 -2.936 -2.929 -2.921 -2.907 -2.898 -2.882 -2.876 -2.857 -2.836 -2.81  -2.801 -2.779 -2.77  -2.745 -2.731 -2.715 -2.711 -2.691 -2.667 -2.648 -2.63  -2.603 -2.594 -2.585 -2.576 -2.565 -2.544 -2.519 -2.504 -2.495 -2.458 -2.444 -2.433 -2.409 -2.397 -2.387 -2.378 -2.363 -2.349 -2.338 -2.332 -2.32  -2.305 -2.293 -2.249 -2.21  -2.19  -2.183 -2.173 -2.154 -2.135 -2.11  -2.096 -2.075 -2.054 -1.996 -1.961 -1.93  -1.921 -1.879 -1.833 -1.811 -1.791 -1.777 -1.75  -1.738 -1.718 -1.685 -1.612  -1.595  -1.539  -1.453  -1.36   -1.246  -1.214  -1.113  -0.801  -0.7      1.177    
8     ALA 1   E  0     0.066  22.984 24.794 390   -4.089 -3.791 -3.611 -3.486 -3.446 -3.423 -3.375 -3.352 -3.332 -3.29  -3.276 -3.251 -3.23  -3.208 -3.181 -3.154 -3.135 -3.112 -3.098 -3.077 -3.037 -3.011 -2.986 -2.946 -2.923 -2.917 -2.901 -2.886 -2.872 -2.863 -2.847 -2.833 -2.804 -2.785 -2.775 -2.762 -2.744 -2.734 -2.717 -2.713 -2.696 -2.677 -2.645 -2.637 -2.614 -2.593 -2.579 -2.571 -2.563 -2.539 -2.518 -2.5   -2.483 -2.474 -2.454 -2.427 -2.416 -2.41  -2.392 -2.383 -2.345 -2.301 -2.275 -2.256 -2.227 -2.211 -2.181 -2.152 -2.133 -2.109 -2.06  -2.038 -1.987 -1.972 -1.944 -1.931 -1.898 -1.859 -1.842 -1.811 -1.79  -1.761 -1.727 -1.706 -1.672 -1.599 -1.563 -1.522 -1.498 -1.465 -1.436  -1.385  -1.336  -1.274  -1.153  -1.114  -1.069  -0.926  -0.661  -0.455    7.465    
9     ALA 1   E  0     0.066  24.794 27.035 284   -3.812 -3.599 -3.554 -3.532 -3.451 -3.391 -3.292 -3.274 -3.227 -3.204 -3.174 -3.15  -3.127 -3.124 -3.116 -3.104 -3.08  -3.06  -3.032 -3.014 -2.986 -2.979 -2.97  -2.966 -2.933 -2.898 -2.885 -2.873 -2.852 -2.811 -2.792 -2.779 -2.759 -2.745 -2.714 -2.704 -2.68  -2.662 -2.655 -2.643 -2.622 -2.587 -2.573 -2.552 -2.522 -2.509 -2.484 -2.473 -2.46  -2.423 -2.394 -2.366 -2.332 -2.319 -2.31  -2.273 -2.262 -2.245 -2.225 -2.208 -2.191 -2.186 -2.173 -2.164 -2.151 -2.105 -2.077 -2.071 -2.064 -2.057 -2.05  -2.017 -2.001 -1.938 -1.917 -1.902 -1.881 -1.853 -1.829 -1.731 -1.668 -1.628 -1.567 -1.534 -1.507 -1.473 -1.456 -1.403 -1.355 -1.311 -1.167  -1.104  -1.06   -0.962  -0.856  -0.781  -0.714  -0.595  -0.058  0.518     20.679   
10    ALA 1   E  0     0.066  27.035 30.5   303   -3.788 -3.544 -3.45  -3.426 -3.369 -3.303 -3.272 -3.242 -3.214 -3.196 -3.121 -3.046 -3.009 -2.971 -2.953 -2.933 -2.913 -2.89  -2.876 -2.867 -2.853 -2.839 -2.823 -2.812 -2.797 -2.776 -2.764 -2.75  -2.733 -2.707 -2.7   -2.668 -2.643 -2.625 -2.593 -2.583 -2.569 -2.554 -2.533 -2.515 -2.502 -2.474 -2.448 -2.43  -2.425 -2.415 -2.391 -2.387 -2.38  -2.374 -2.346 -2.322 -2.318 -2.306 -2.26  -2.244 -2.209 -2.202 -2.171 -2.161 -2.155 -2.134 -2.103 -2.08  -2.071 -2.048 -2.022 -2.017 -1.997 -1.985 -1.963 -1.95  -1.932 -1.915 -1.877 -1.844 -1.81  -1.782 -1.73  -1.726 -1.716 -1.704 -1.692 -1.654 -1.623 -1.545 -1.504 -1.439 -1.392 -1.381 -1.338  -1.298  -1.282  -1.265  -1.251  -1.189  -1.153  -1.079  -0.842  -0.608    1.707    
