META Nbins 1500 Nquantiles 101 Nssbin 3 Nsfbin 5 Nnbbin 5
index aa  aai ss lowsf highsf lownb  highnb nsamp q000   q001  q002  q003  q004  q005  q006  q007  q008  q009  q010  q011  q012  q013  q014  q015  q016  q017  q018  q019  q020  q021  q022  q023  q024  q025  q026  q027  q028  q029  q030  q031  q032  q033  q034  q035  q036  q037  q038  q039  q040  q041  q042  q043  q044  q045  q046  q047  q048  q049  q050  q051  q052  q053  q054  q055  q056  q057  q058  q059  q060  q061  q062  q063  q064  q065  q066  q067  q068  q069  q070  q071  q072  q073  q074  q075  q076  q077  q078  q079  q080  q081  q082  q083  q084  q085  q086  q087  q088  q089  q090  q091  q092  q093  q094  q095  q096  q097  q098  q099  q100  
1     ALA 1   E  0     0      5.5    23.781 1214  0.58   0.811 0.867 0.893 0.92  0.935 0.951 0.965 0.978 0.991 1.004 1.015 1.022 1.03  1.039 1.043 1.052 1.059 1.068 1.072 1.081 1.084 1.088 1.093 1.099 1.105 1.113 1.121 1.126 1.131 1.134 1.138 1.146 1.15  1.156 1.159 1.162 1.169 1.176 1.183 1.189 1.194 1.197 1.201 1.208 1.212 1.217 1.223 1.229 1.235 1.238 1.242 1.248 1.257 1.262 1.269 1.276 1.281 1.285 1.291 1.298 1.304 1.31  1.315 1.32  1.324 1.332 1.338 1.348 1.361 1.369 1.378 1.382 1.393 1.405 1.412 1.42  1.432 1.441 1.449 1.459 1.471 1.481 1.5   1.53  1.54  1.559 1.573 1.586 1.608 1.629 1.648 1.668 1.698 1.731 1.781 1.824 1.862 1.969 2.07  2.522 
2     ALA 1   E  0     0      23.781 25.753 1234  0.596  0.78  0.837 0.869 0.9   0.923 0.939 0.946 0.956 0.967 0.975 0.982 0.992 1.001 1.004 1.011 1.018 1.022 1.027 1.032 1.036 1.041 1.047 1.055 1.058 1.06  1.067 1.07  1.075 1.079 1.082 1.088 1.096 1.1   1.106 1.111 1.115 1.121 1.127 1.132 1.137 1.142 1.145 1.15  1.154 1.157 1.161 1.166 1.171 1.176 1.18  1.184 1.189 1.192 1.198 1.203 1.21  1.215 1.222 1.226 1.232 1.238 1.243 1.247 1.251 1.259 1.264 1.269 1.278 1.284 1.293 1.303 1.315 1.32  1.331 1.344 1.35  1.36  1.368 1.377 1.384 1.394 1.403 1.417 1.426 1.439 1.457 1.471 1.486 1.504 1.53  1.555 1.578 1.607 1.638 1.669 1.732 1.763 1.844 1.937 2.189 
3     ALA 1   E  0     0      25.753 27.481 662   0.636  0.796 0.859 0.888 0.912 0.933 0.943 0.953 0.963 0.968 0.975 0.983 0.991 0.997 1.002 1.011 1.021 1.024 1.028 1.034 1.043 1.048 1.055 1.058 1.062 1.064 1.07  1.075 1.08  1.082 1.085 1.088 1.094 1.097 1.1   1.104 1.107 1.113 1.119 1.122 1.13  1.139 1.146 1.15  1.153 1.157 1.161 1.168 1.171 1.176 1.181 1.187 1.192 1.194 1.198 1.203 1.207 1.212 1.215 1.223 1.226 1.233 1.238 1.243 1.252 1.259 1.269 1.277 1.291 1.301 1.304 1.313 1.318 1.332 1.338 1.344 1.354 1.365 1.383 1.395 1.412 1.423 1.433 1.449 1.463 1.474 1.487 1.504 1.52  1.533 1.546 1.587 1.605 1.665 1.688 1.722 1.754 1.79  1.889 1.944 2.208 
4     ALA 1   E  0     0      27.481 29.522 1152  0.547  0.805 0.881 0.898 0.906 0.918 0.942 0.955 0.969 0.979 0.988 0.997 1.007 1.016 1.019 1.026 1.033 1.037 1.041 1.046 1.05  1.056 1.06  1.065 1.069 1.072 1.077 1.08  1.085 1.088 1.093 1.101 1.103 1.107 1.111 1.115 1.118 1.122 1.125 1.127 1.133 1.137 1.14  1.144 1.148 1.153 1.159 1.162 1.167 1.172 1.175 1.178 1.182 1.192 1.198 1.203 1.21  1.215 1.219 1.223 1.227 1.232 1.238 1.242 1.251 1.253 1.259 1.263 1.269 1.279 1.286 1.292 1.3   1.306 1.314 1.321 1.333 1.34  1.348 1.359 1.374 1.383 1.392 1.403 1.419 1.431 1.448 1.459 1.48  1.498 1.522 1.552 1.575 1.591 1.632 1.658 1.698 1.753 1.828 1.995 2.327 
5     ALA 1   E  0     0      29.522 30.5   1159  0.635  0.789 0.861 0.9   0.914 0.931 0.944 0.956 0.966 0.974 0.986 0.993 0.999 1.006 1.014 1.02  1.029 1.035 1.042 1.045 1.05  1.055 1.063 1.069 1.072 1.076 1.081 1.087 1.092 1.097 1.103 1.108 1.114 1.117 1.121 1.126 1.132 1.139 1.145 1.15  1.156 1.16  1.163 1.168 1.171 1.177 1.182 1.186 1.192 1.195 1.2   1.202 1.205 1.209 1.218 1.223 1.228 1.234 1.239 1.244 1.25  1.255 1.262 1.269 1.274 1.281 1.285 1.296 1.306 1.313 1.32  1.331 1.341 1.345 1.352 1.359 1.37  1.384 1.391 1.4   1.41  1.417 1.432 1.444 1.462 1.473 1.488 1.505 1.521 1.538 1.552 1.565 1.585 1.61  1.656 1.685 1.725 1.794 1.907 2.002 2.375 
6     ALA 1   E  0     0.066  5.5    20.934 342   0.666  0.775 0.816 0.867 0.906 0.925 0.943 0.979 0.994 1.005 1.013 1.025 1.034 1.043 1.048 1.052 1.072 1.077 1.084 1.089 1.092 1.1   1.104 1.105 1.113 1.121 1.127 1.136 1.14  1.145 1.155 1.159 1.166 1.177 1.181 1.192 1.196 1.201 1.205 1.211 1.218 1.228 1.231 1.242 1.257 1.263 1.273 1.281 1.29  1.292 1.298 1.301 1.304 1.307 1.309 1.313 1.315 1.322 1.329 1.346 1.357 1.361 1.367 1.372 1.378 1.384 1.388 1.391 1.397 1.404 1.422 1.429 1.44  1.453 1.46  1.47  1.475 1.487 1.498 1.499 1.512 1.524 1.536 1.542 1.561 1.582 1.591 1.624 1.628 1.652 1.683 1.735 1.756 1.777 1.813 1.829 1.851 1.87  1.922 2.084 2.231 
7     ALA 1   E  0     0.066  20.934 22.984 331   0.393  0.635 0.705 0.742 0.754 0.795 0.831 0.854 0.899 0.905 0.909 0.918 0.933 0.944 0.948 0.956 0.971 0.977 0.98  0.983 0.988 0.995 1.001 1.013 1.021 1.025 1.03  1.039 1.04  1.045 1.049 1.052 1.06  1.067 1.074 1.079 1.089 1.093 1.103 1.109 1.119 1.125 1.128 1.13  1.133 1.137 1.15  1.156 1.163 1.166 1.181 1.189 1.197 1.204 1.207 1.215 1.227 1.23  1.237 1.246 1.26  1.271 1.274 1.28  1.286 1.294 1.305 1.308 1.312 1.316 1.322 1.334 1.347 1.353 1.355 1.364 1.374 1.384 1.391 1.397 1.409 1.423 1.44  1.457 1.475 1.489 1.507 1.52  1.547 1.577 1.589 1.595 1.615 1.633 1.652 1.692 1.762 1.822 1.889 2.084 2.287 
8     ALA 1   E  0     0.066  22.984 24.794 390   0.456  0.58  0.651 0.703 0.735 0.784 0.803 0.817 0.841 0.852 0.864 0.878 0.897 0.907 0.911 0.916 0.929 0.939 0.945 0.947 0.95  0.97  0.973 0.978 0.981 0.988 0.992 1.001 1.013 1.023 1.032 1.035 1.043 1.053 1.06  1.065 1.069 1.08  1.091 1.1   1.107 1.112 1.116 1.126 1.135 1.137 1.142 1.144 1.148 1.162 1.167 1.174 1.183 1.191 1.195 1.198 1.209 1.22  1.223 1.227 1.23  1.233 1.239 1.243 1.247 1.252 1.261 1.276 1.281 1.287 1.29  1.293 1.296 1.311 1.318 1.33  1.336 1.339 1.344 1.352 1.363 1.374 1.381 1.389 1.404 1.432 1.452 1.461 1.48  1.485 1.498 1.521 1.527 1.569 1.594 1.63  1.689 1.731 1.777 1.898 2.189 
9     ALA 1   E  0     0.066  24.794 27.035 284   0.508  0.671 0.742 0.762 0.781 0.808 0.834 0.849 0.854 0.859 0.873 0.899 0.908 0.919 0.933 0.94  0.943 0.946 0.951 0.958 0.964 0.969 0.972 0.976 0.987 0.997 1.003 1.006 1.012 1.015 1.023 1.037 1.04  1.042 1.045 1.049 1.051 1.053 1.056 1.057 1.069 1.074 1.082 1.091 1.101 1.107 1.111 1.114 1.117 1.12  1.127 1.133 1.139 1.146 1.152 1.156 1.163 1.172 1.173 1.18  1.186 1.189 1.192 1.207 1.209 1.217 1.221 1.226 1.231 1.234 1.237 1.24  1.246 1.251 1.258 1.268 1.287 1.292 1.308 1.326 1.333 1.341 1.349 1.375 1.395 1.401 1.414 1.438 1.454 1.476 1.529 1.553 1.561 1.587 1.603 1.642 1.683 1.703 1.726 1.94  2.105 
10    ALA 1   E  0     0.066  27.035 30.5   303   0.617  0.665 0.712 0.725 0.746 0.786 0.813 0.828 0.854 0.86  0.877 0.89  0.9   0.904 0.916 0.922 0.934 0.945 0.947 0.952 0.957 0.97  0.973 0.983 0.992 1.007 1.015 1.024 1.029 1.033 1.041 1.048 1.05  1.056 1.06  1.067 1.073 1.078 1.084 1.09  1.096 1.106 1.112 1.115 1.125 1.128 1.133 1.136 1.14  1.146 1.15  1.153 1.156 1.158 1.172 1.179 1.185 1.195 1.199 1.204 1.205 1.213 1.22  1.227 1.231 1.236 1.247 1.254 1.262 1.264 1.273 1.286 1.295 1.302 1.311 1.318 1.325 1.341 1.353 1.358 1.365 1.382 1.412 1.431 1.455 1.476 1.488 1.501 1.531 1.556 1.566 1.58  1.605 1.625 1.638 1.683 1.708 1.778 1.859 1.998 2.209 
