META Nbins 1500 Nquantiles 101 Nssbin 3 Nsfbin 5 Nnbbin 5
index aa  aai ss lowsf highsf lownb  highnb nsamp q000    q001    q002    q003    q004    q005    q006    q007    q008    q009    q010    q011    q012    q013    q014    q015    q016    q017    q018    q019    q020    q021   q022   q023   q024   q025   q026   q027   q028   q029   q030   q031   q032   q033   q034   q035   q036   q037   q038   q039   q040   q041   q042   q043   q044   q045   q046   q047   q048   q049   q050   q051   q052   q053   q054   q055   q056   q057   q058   q059   q060   q061   q062   q063   q064   q065   q066   q067   q068   q069   q070   q071   q072   q073   q074   q075   q076   q077   q078   q079   q080   q081   q082   q083   q084   q085   q086   q087   q088   q089   q090   q091   q092   q093   q094   q095   q096   q097   q098   q099   q100  
1     ALA 1   E  0     0      5.5    23.781 1214  -9.306  -6.36   -5.89   -5.181  -4.776  -4.298  -4.008  -3.824  -3.613  -3.411  -3.219  -2.961  -2.879  -2.676  -2.439  -2.322  -2.226  -2.062  -1.832  -1.73   -1.603  -1.388 -1.253 -1.132 -0.994 -0.863 -0.769 -0.644 -0.523 -0.387 -0.311 -0.163 -0.046 0.02   0.119  0.229  0.378  0.434  0.539  0.694  0.802  0.903  0.945  1.093  1.215  1.309  1.384  1.528  1.62   1.692  1.802  1.892  2.052  2.172  2.275  2.436  2.518  2.621  2.789  2.928  3.009  3.12   3.207  3.368  3.5    3.603  3.721  3.846  3.986  4.133  4.228  4.361  4.553  4.689  4.798  4.879  5.051  5.192  5.365  5.512  5.65   5.876  6.009  6.136  6.27   6.445  6.685  6.978  7.139  7.525  7.797  8.034  8.249  8.502  8.786  9.067  9.653  10.074 10.897 12.933 17.925
2     ALA 1   E  0     0      23.781 25.753 1234  -10.259 -6.906  -5.808  -5.476  -5.151  -4.729  -4.499  -4.143  -3.83   -3.544  -3.279  -3.062  -2.865  -2.703  -2.537  -2.378  -2.204  -2.112  -2.031  -1.838  -1.671  -1.559 -1.435 -1.331 -1.192 -1.085 -1.004 -0.883 -0.787 -0.687 -0.575 -0.434 -0.336 -0.17  -0.045 0.024  0.138  0.19   0.316  0.418  0.505  0.636  0.753  0.858  0.942  1.065  1.144  1.23   1.427  1.545  1.66   1.762  1.869  1.911  2.047  2.163  2.281  2.382  2.464  2.499  2.677  2.747  2.848  2.997  3.197  3.324  3.448  3.59   3.696  3.843  3.974  4.087  4.205  4.273  4.442  4.58   4.706  4.874  5.068  5.247  5.396  5.581  5.816  5.968  6.221  6.323  6.6    6.835  7.034  7.209  7.736  7.945  8.28   8.639  9.172  9.587  10.181 10.883 11.536 12.997 21.302
3     ALA 1   E  0     0      25.753 27.481 662   -8.735  -6.668  -5.584  -5.18   -4.848  -4.659  -4.44   -4.164  -4.009  -3.722  -3.531  -3.418  -3.172  -2.996  -2.871  -2.677  -2.607  -2.539  -2.318  -2.211  -2.136  -1.984 -1.81  -1.601 -1.487 -1.392 -1.332 -1.192 -1.054 -0.986 -0.892 -0.816 -0.746 -0.631 -0.395 -0.254 -0.152 -0.041 0.146  0.25   0.313  0.452  0.567  0.809  0.893  1.108  1.187  1.32   1.415  1.512  1.594  1.74   1.897  1.997  2.115  2.225  2.314  2.422  2.563  2.682  2.76   2.864  2.96   3.127  3.22   3.273  3.315  3.48   3.605  3.763  3.902  4.032  4.085  4.234  4.358  4.427  4.558  4.711  4.827  4.966  5.133  5.255  5.382  5.676  5.859  6.048  6.275  6.582  6.961  7.194  7.427  7.737  8.213  8.621  8.904  9.218  9.672  10.178 10.47  11.325 15.127
4     ALA 1   E  0     0      27.481 29.522 1152  -9.316  -7.027  -6.17   -5.407  -5.054  -4.698  -4.31   -4.197  -3.865  -3.704  -3.545  -3.301  -3.025  -2.679  -2.558  -2.413  -2.246  -2.048  -1.883  -1.725  -1.559  -1.474 -1.345 -1.227 -1.113 -0.964 -0.845 -0.748 -0.66  -0.564 -0.477 -0.382 -0.265 -0.198 -0.129 -0.017 0.09   0.221  0.339  0.4    0.481  0.591  0.709  0.774  0.939  1.023  1.14   1.238  1.341  1.465  1.58   1.718  1.774  1.911  1.981  2.238  2.352  2.431  2.588  2.718  2.862  2.944  3.07   3.18   3.282  3.415  3.483  3.604  3.724  3.841  4.007  4.072  4.263  4.381  4.498  4.589  4.769  4.924  5.176  5.357  5.461  5.629  5.842  5.948  6.166  6.332  6.611  6.769  7.019  7.354  7.608  7.81   8.087  8.43   9.158  9.61   10.165 10.629 11.724 13.501 15.803
5     ALA 1   E  0     0      29.522 30.5   1159  -9.577  -7.194  -6.494  -6.107  -5.682  -5.372  -5.126  -4.819  -4.595  -4.338  -4.146  -4.03   -3.852  -3.709  -3.511  -3.304  -3.132  -3.022  -2.92   -2.744  -2.633  -2.548 -2.427 -2.294 -2.183 -2.082 -1.951 -1.757 -1.646 -1.564 -1.469 -1.373 -1.319 -1.203 -1.049 -0.94  -0.827 -0.691 -0.588 -0.509 -0.375 -0.304 -0.2   -0.043 0.008  0.104  0.22   0.289  0.369  0.482  0.627  0.687  0.835  0.916  0.99   1.066  1.17   1.25   1.353  1.572  1.701  1.793  1.918  2.021  2.1    2.201  2.332  2.424  2.549  2.662  2.822  2.976  3.135  3.217  3.323  3.447  3.555  3.682  3.834  4.047  4.345  4.542  4.72   5.025  5.172  5.324  5.548  5.796  6.047  6.268  6.488  6.725  7.017  7.187  7.408  8.008  8.594  9.277  9.909  10.884 15.481
6     ALA 1   E  0     0.066  5.5    20.934 342   -7.444  -6.446  -6.235  -6.104  -5.562  -5.241  -5.085  -4.883  -4.272  -4.038  -4.001  -3.88   -3.778  -3.627  -3.509  -3.4    -3.303  -3.217  -3.119  -3.06   -2.773  -2.567 -2.51  -2.478 -2.376 -2.278 -2.163 -2.124 -2.016 -1.95  -1.91  -1.641 -1.56  -1.399 -1.079 -0.957 -0.854 -0.734 -0.657 -0.49  -0.385 -0.298 -0.058 -0.016 0.079  0.183  0.338  0.453  0.549  0.584  0.66   0.804  0.88   0.997  1.166  1.347  1.486  1.536  1.585  1.634  1.756  1.829  1.839  1.943  2.014  2.287  2.406  2.534  2.667  2.858  2.93   3.044  3.075  3.207  3.355  3.531  3.626  3.773  4.121  4.322  4.353  4.728  4.854  5.01   5.07   5.183  5.305  5.583  5.837  6.04   6.205  6.327  6.557  6.809  6.994  7.549  9.274  10.911 11.771 12.949 17.712
7     ALA 1   E  0     0.066  20.934 22.984 331   -7.61   -6.792  -6.186  -5.791  -5.493  -5.381  -4.875  -4.483  -4.175  -4.052  -3.943  -3.438  -3.349  -3.28   -3.143  -3.037  -2.9    -2.779  -2.684  -2.603  -2.44   -2.248 -2.057 -1.912 -1.759 -1.586 -1.308 -1.194 -1.089 -1.007 -0.939 -0.905 -0.757 -0.588 -0.48  -0.409 -0.308 -0.167 -0.111 0.183  0.245  0.353  0.476  0.537  0.59   0.69   0.984  1.044  1.141  1.2    1.237  1.291  1.37   1.452  1.614  1.671  1.751  2.026  2.145  2.225  2.451  2.468  2.536  2.71   2.777  2.83   2.921  3.07   3.146  3.224  3.343  3.404  3.548  3.6    3.788  3.872  4.112  4.263  4.359  4.452  4.657  4.746  4.94   4.982  5.061  5.181  5.386  5.473  5.67   6.123  6.608  6.795  7.113  7.222  7.297  7.592  8.075  8.429  9.49   10.33  13.935
8     ALA 1   E  0     0.066  22.984 24.794 390   -8.201  -6.359  -5.919  -5.365  -5.154  -4.974  -4.657  -4.435  -4.344  -4.188  -4.114  -3.822  -3.626  -3.396  -3.305  -3.181  -3.107  -3.001  -2.851  -2.74   -2.602  -2.416 -2.272 -2.087 -2.006 -1.909 -1.815 -1.602 -1.428 -1.301 -1.247 -1.141 -0.947 -0.831 -0.704 -0.624 -0.516 -0.416 -0.32  -0.232 -0.163 -0.086 0.039  0.136  0.349  0.679  0.862  0.895  1.026  1.237  1.305  1.386  1.456  1.525  1.572  1.695  1.814  1.864  1.917  2.04   2.105  2.275  2.346  2.464  2.626  2.671  2.697  2.877  3.024  3.069  3.13   3.289  3.526  3.596  3.642  3.874  3.93   4.14   4.246  4.348  4.602  4.862  4.969  5.194  5.3    5.444  5.721  5.857  6.093  6.256  6.33   6.83   7.267  7.595  7.869  8.31   8.857  10.466 12.513 13.5   16.534
9     ALA 1   E  0     0.066  24.794 27.035 284   -8.967  -6.541  -5.415  -5.128  -5.028  -4.931  -4.776  -4.356  -3.904  -3.78   -3.609  -3.295  -3.191  -3.098  -2.988  -2.845  -2.672  -2.43   -2.264  -2.086  -1.995  -1.841 -1.695 -1.597 -1.483 -1.368 -1.221 -1.07  -0.86  -0.693 -0.586 -0.438 -0.272 -0.186 -0.076 -0.019 0.187  0.229  0.37   0.473  0.498  0.566  0.657  0.781  0.858  0.928  0.993  1.037  1.172  1.207  1.253  1.319  1.379  1.486  1.564  1.615  1.783  1.918  1.991  2.076  2.241  2.397  2.521  2.567  2.734  2.922  2.995  3.055  3.135  3.194  3.442  3.463  3.621  3.729  3.883  3.994  4.038  4.217  4.427  4.629  4.848  5.024  5.164  5.2    5.547  5.718  5.869  6.019  6.121  6.308  6.504  6.923  7.159  7.438  7.824  8.27   8.989  9.832  10.325 12.457 15.561
10    ALA 1   E  0     0.066  27.035 30.5   303   -8.897  -7.361  -6.34   -6.059  -5.466  -5.223  -4.702  -4.561  -4.378  -4.194  -3.958  -3.661  -3.491  -3.358  -3.291  -3.114  -2.988  -2.712  -2.564  -2.452  -2.337  -2.263 -2.181 -2.056 -1.83  -1.583 -1.502 -1.423 -1.357 -1.29  -1.161 -1.059 -0.883 -0.698 -0.618 -0.56  -0.456 -0.347 -0.258 -0.175 -0.049 0.208  0.323  0.561  0.598  0.867  0.931  1.033  1.061  1.119  1.226  1.391  1.47   1.682  1.748  1.832  1.898  2.072  2.133  2.271  2.314  2.401  2.707  2.804  2.91   3.163  3.206  3.345  3.488  3.532  3.647  3.761  3.888  3.941  4.024  4.12   4.31   4.526  4.602  4.874  4.957  5.099  5.235  5.496  5.709  5.803  5.906  5.999  6.444  7.44   8.116  8.435  8.602  8.95   9.248  9.887  10.573 11.599 11.864 12.855 15.035
