META Nbins 1500 Nquantiles 101 Nssbin 3 Nsfbin 5 Nnbbin 5
index aa  aai ss lowsf highsf lownb  highnb nsamp q000       q001       q002     q003     q004     q005     q006     q007     q008     q009     q010     q011     q012     q013    q014    q015    q016    q017    q018    q019    q020    q021    q022    q023    q024    q025    q026    q027    q028    q029    q030    q031    q032    q033    q034    q035    q036    q037    q038    q039    q040    q041    q042    q043    q044    q045    q046    q047    q048    q049    q050    q051    q052    q053    q054   q055   q056   q057   q058   q059   q060   q061   q062   q063   q064   q065   q066   q067   q068   q069   q070   q071   q072   q073   q074   q075   q076   q077   q078   q079   q080   q081   q082   q083   q084   q085   q086   q087   q088   q089   q090   q091   q092   q093   q094   q095   q096   q097   q098   q099   q100  
1     ALA 1   E  0     0      5.5    23.781 1214  -34.885    -5.435     -4.792   -4.582   -4.356   -4.284   -4.21    -4.156   -4.097   -4.067   -4.049   -4.022   -3.98    -3.957  -3.934  -3.906  -3.88   -3.863  -3.842  -3.816  -3.802  -3.783  -3.766  -3.753  -3.736  -3.722  -3.707  -3.692  -3.683  -3.668  -3.656  -3.646  -3.625  -3.617  -3.607  -3.599  -3.588  -3.576  -3.563  -3.554  -3.543  -3.535  -3.522  -3.509  -3.497  -3.488  -3.48   -3.468  -3.457  -3.446  -3.436  -3.422  -3.411  -3.402  -3.39  -3.379 -3.369 -3.359 -3.345 -3.338 -3.329 -3.319 -3.309 -3.3   -3.292 -3.281 -3.27  -3.258 -3.242 -3.234 -3.224 -3.217 -3.207 -3.194 -3.183 -3.167 -3.155 -3.139 -3.127 -3.118 -3.108 -3.097 -3.08  -3.063 -3.046 -3.023 -3.009 -2.992 -2.978 -2.955 -2.937 -2.915 -2.894 -2.865 -2.829 -2.793 -2.753 -2.706 -2.606 -2.529 -2.282
2     ALA 1   E  0     0      23.781 25.753 1234  -17.823    -5.184     -4.649   -4.33    -4.194   -4.071   -4.033   -4.003   -3.969   -3.952   -3.923   -3.896   -3.878   -3.842  -3.82   -3.804  -3.779  -3.765  -3.741  -3.729  -3.718  -3.708  -3.69   -3.669  -3.643  -3.622  -3.606  -3.594  -3.583  -3.568  -3.557  -3.546  -3.538  -3.525  -3.516  -3.507  -3.498  -3.488  -3.485  -3.475  -3.465  -3.452  -3.437  -3.425  -3.418  -3.406  -3.397  -3.387  -3.374  -3.367  -3.358  -3.353  -3.343  -3.335  -3.324 -3.31  -3.303 -3.291 -3.285 -3.276 -3.263 -3.253 -3.245 -3.239 -3.233 -3.221 -3.214 -3.198 -3.189 -3.173 -3.164 -3.154 -3.142 -3.131 -3.124 -3.114 -3.103 -3.093 -3.083 -3.071 -3.058 -3.05  -3.04  -3.03  -3.019 -3.01  -2.993 -2.981 -2.963 -2.948 -2.928 -2.913 -2.881 -2.859 -2.84  -2.811 -2.761 -2.699 -2.587 -2.473 -2.179
3     ALA 1   E  0     0      25.753 27.481 662   -14.337    -4.727     -4.369   -4.277   -4.167   -4.142   -4.091   -4.039   -4.008   -3.992   -3.931   -3.904   -3.878   -3.854  -3.824  -3.803  -3.781  -3.749  -3.737  -3.725  -3.71   -3.697  -3.686  -3.68   -3.664  -3.652  -3.639  -3.628  -3.606  -3.593  -3.583  -3.567  -3.556  -3.54   -3.532  -3.523  -3.516  -3.505  -3.49   -3.483  -3.469  -3.452  -3.443  -3.438  -3.427  -3.419  -3.41   -3.402  -3.393  -3.384  -3.377  -3.374  -3.363  -3.346  -3.339 -3.327 -3.319 -3.311 -3.305 -3.296 -3.286 -3.271 -3.268 -3.257 -3.249 -3.24  -3.231 -3.224 -3.2   -3.188 -3.168 -3.155 -3.147 -3.142 -3.132 -3.123 -3.106 -3.098 -3.091 -3.078 -3.063 -3.054 -3.044 -3.019 -3.012 -2.992 -2.97  -2.956 -2.934 -2.908 -2.886 -2.84  -2.806 -2.787 -2.775 -2.729 -2.704 -2.659 -2.591 -2.419 -2.265
4     ALA 1   E  0     0      27.481 29.522 1152  -95.35     -5.192     -4.653   -4.438   -4.198   -4.129   -4.059   -4.026   -3.996   -3.951   -3.915   -3.872   -3.838   -3.81   -3.784  -3.754  -3.73   -3.705  -3.691  -3.676  -3.664  -3.647  -3.637  -3.629  -3.62   -3.61   -3.599  -3.586  -3.578  -3.561  -3.548  -3.538  -3.527  -3.514  -3.505  -3.495  -3.488  -3.469  -3.462  -3.455  -3.447  -3.441  -3.433  -3.422  -3.405  -3.395  -3.388  -3.379  -3.371  -3.361  -3.354  -3.349  -3.338  -3.331  -3.324 -3.317 -3.308 -3.294 -3.288 -3.279 -3.27  -3.259 -3.246 -3.236 -3.229 -3.219 -3.211 -3.2   -3.188 -3.18  -3.173 -3.164 -3.152 -3.144 -3.135 -3.12  -3.105 -3.093 -3.086 -3.073 -3.056 -3.042 -3.025 -3.013 -2.998 -2.986 -2.973 -2.957 -2.944 -2.935 -2.91  -2.896 -2.873 -2.849 -2.819 -2.801 -2.753 -2.734 -2.654 -2.503 -2.086
5     ALA 1   E  0     0      29.522 30.5   1159  -46.386    -4.872     -4.557   -4.387   -4.263   -4.122   -4.054   -3.997   -3.97    -3.927   -3.888   -3.869   -3.835   -3.822  -3.804  -3.783  -3.767  -3.748  -3.737  -3.724  -3.699  -3.686  -3.664  -3.648  -3.639  -3.63   -3.619  -3.609  -3.597  -3.58   -3.565  -3.556  -3.548  -3.536  -3.522  -3.516  -3.507  -3.499  -3.489  -3.464  -3.457  -3.449  -3.441  -3.432  -3.419  -3.414  -3.404  -3.393  -3.381  -3.37   -3.357  -3.346  -3.338  -3.331  -3.322 -3.313 -3.304 -3.298 -3.289 -3.281 -3.269 -3.262 -3.25  -3.237 -3.222 -3.215 -3.205 -3.199 -3.189 -3.183 -3.173 -3.168 -3.157 -3.151 -3.14  -3.132 -3.124 -3.11  -3.094 -3.085 -3.073 -3.067 -3.059 -3.046 -3.032 -3.019 -2.995 -2.982 -2.97  -2.943 -2.925 -2.904 -2.882 -2.854 -2.822 -2.789 -2.742 -2.693 -2.634 -2.547 -2.21 
6     ALA 1   E  0     0.066  5.5    20.934 342   -16.83     -4.929     -4.422   -4.309   -4.248   -4.14    -4.1     -4.054   -4.007   -3.939   -3.917   -3.847   -3.77    -3.741  -3.72   -3.703  -3.667  -3.651  -3.637  -3.632  -3.628  -3.623  -3.62   -3.593  -3.582  -3.57   -3.551  -3.532  -3.516  -3.493  -3.486  -3.472  -3.465  -3.457  -3.444  -3.44   -3.43   -3.413  -3.398  -3.385  -3.371  -3.355  -3.342  -3.336  -3.328  -3.321  -3.301  -3.295  -3.287  -3.283  -3.279  -3.265  -3.26   -3.248  -3.234 -3.223 -3.212 -3.205 -3.198 -3.192 -3.184 -3.172 -3.165 -3.155 -3.136 -3.126 -3.117 -3.114 -3.102 -3.08  -3.072 -3.051 -3.043 -3.026 -3.017 -3.003 -2.993 -2.985 -2.979 -2.974 -2.968 -2.948 -2.932 -2.909 -2.877 -2.861 -2.85  -2.844 -2.823 -2.802 -2.761 -2.736 -2.704 -2.694 -2.682 -2.642 -2.556 -2.516 -2.416 -2.269 -1.968
7     ALA 1   E  0     0.066  20.934 22.984 331   -6.475     -5.059     -4.435   -4.182   -4.011   -3.939   -3.871   -3.84    -3.783   -3.749   -3.725   -3.699   -3.681   -3.669  -3.649  -3.634  -3.625  -3.615  -3.598  -3.578  -3.522  -3.51   -3.483  -3.475  -3.467  -3.455  -3.433  -3.425  -3.415  -3.395  -3.384  -3.372  -3.353  -3.337  -3.334  -3.329  -3.319  -3.308  -3.304  -3.288  -3.279  -3.259  -3.252  -3.242  -3.225  -3.215  -3.196  -3.182  -3.177  -3.174  -3.153  -3.144  -3.134  -3.124  -3.12  -3.112 -3.1   -3.086 -3.071 -3.057 -3.045 -3.033 -3.022 -3.013 -3.004 -2.997 -2.985 -2.977 -2.963 -2.956 -2.939 -2.928 -2.911 -2.885 -2.874 -2.859 -2.852 -2.846 -2.843 -2.838 -2.833 -2.808 -2.799 -2.786 -2.765 -2.756 -2.741 -2.733 -2.72  -2.713 -2.681 -2.636 -2.621 -2.592 -2.57  -2.537 -2.457 -2.409 -2.344 -2.303 -2.089
8     ALA 1   E  0     0.066  22.984 24.794 390   -10.713    -4.947     -4.235   -3.982   -3.877   -3.817   -3.768   -3.723   -3.706   -3.679   -3.655   -3.633   -3.615   -3.599  -3.568  -3.55   -3.537  -3.512  -3.505  -3.498  -3.489  -3.453  -3.433  -3.423  -3.409  -3.406  -3.398  -3.385  -3.379  -3.365  -3.359  -3.34   -3.332  -3.324  -3.313  -3.304  -3.294  -3.288  -3.281  -3.273  -3.267  -3.245  -3.233  -3.225  -3.211  -3.207  -3.199  -3.191  -3.183  -3.168  -3.151  -3.137  -3.133  -3.126  -3.116 -3.11  -3.095 -3.086 -3.077 -3.072 -3.055 -3.05  -3.042 -3.027 -3.021 -3.002 -2.988 -2.981 -2.963 -2.954 -2.932 -2.92  -2.913 -2.9   -2.891 -2.878 -2.872 -2.858 -2.848 -2.834 -2.825 -2.813 -2.798 -2.776 -2.758 -2.745 -2.726 -2.722 -2.705 -2.659 -2.633 -2.605 -2.587 -2.561 -2.505 -2.457 -2.412 -2.354 -2.176 -2.068 -1.811
9     ALA 1   E  0     0.066  24.794 27.035 284   -26.282    -5.266     -4.319   -4.025   -3.972   -3.917   -3.886   -3.788   -3.766   -3.732   -3.709   -3.646   -3.623   -3.577  -3.559  -3.523  -3.508  -3.499  -3.495  -3.462  -3.451  -3.442  -3.438  -3.412  -3.394  -3.387  -3.382  -3.361  -3.354  -3.344  -3.331  -3.317  -3.303  -3.293  -3.275  -3.255  -3.239  -3.221  -3.207  -3.196  -3.183  -3.173  -3.165  -3.159  -3.151  -3.131  -3.125  -3.119  -3.11   -3.104  -3.101  -3.093  -3.086  -3.066  -3.057 -3.046 -3.04  -3.035 -3.02  -2.996 -2.993 -2.98  -2.968 -2.96  -2.95  -2.943 -2.932 -2.922 -2.916 -2.906 -2.885 -2.876 -2.869 -2.853 -2.846 -2.837 -2.823 -2.809 -2.801 -2.791 -2.779 -2.772 -2.765 -2.741 -2.728 -2.711 -2.703 -2.686 -2.652 -2.646 -2.631 -2.582 -2.552 -2.521 -2.487 -2.459 -2.403 -2.361 -2.312 -2.174 -1.645
10    ALA 1   E  0     0.066  27.035 30.5   303   -6.455     -4.383     -3.944   -3.926   -3.885   -3.813   -3.792   -3.746   -3.734   -3.686   -3.673   -3.636   -3.566   -3.542  -3.51   -3.502  -3.478  -3.473  -3.451  -3.436  -3.416  -3.402  -3.398  -3.386  -3.371  -3.358  -3.346  -3.314  -3.301  -3.298  -3.282  -3.272  -3.262  -3.255  -3.247  -3.233  -3.227  -3.224  -3.22   -3.211  -3.2    -3.18   -3.165  -3.158  -3.154  -3.153  -3.144  -3.135  -3.123  -3.113  -3.107  -3.097  -3.09   -3.072  -3.055 -3.05  -3.045 -3.038 -3.032 -3.026 -3.014 -3.003 -2.974 -2.969 -2.957 -2.942 -2.928 -2.921 -2.909 -2.898 -2.881 -2.863 -2.849 -2.847 -2.84  -2.833 -2.823 -2.814 -2.793 -2.782 -2.742 -2.72  -2.704 -2.699 -2.687 -2.674 -2.666 -2.645 -2.636 -2.618 -2.593 -2.57  -2.527 -2.488 -2.452 -2.403 -2.353 -2.323 -2.266 -2.145 -1.918
